zip_code,date,ZORI,region_id,size_rank,region_name,region_type,state_name,state,city,metro,county_name,borough,neighborhood
10001,2020-01-31,4108.098113071076,61615,4444,10001,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,Manhattan,Chelsea and Clinton
10001,2020-02-29,4110.379048715618,61615,4444,10001,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,Manhattan,Chelsea and Clinton
10001,2020-03-31,4139.6891297105285,61615,4444,10001,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,Manhattan,Chelsea and Clinton
10001,2020-04-30,4126.909430271729,61615,4444,10001,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,Manhattan,Chelsea and Clinton
10001,2020-05-31,4063.7107094440257,61615,4444,10001,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,Manhattan,Chelsea and Clinton
10001,2020-06-30,3996.4773511630938,61615,4444,10001,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,Manhattan,Chelsea and Clinton
10001,2020-07-31,3847.7494691292936,61615,4444,10001,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,Manhattan,Chelsea and Clinton
10001,2020-08-31,3681.09893584434,61615,4444,10001,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,Manhattan,Chelsea and Clinton
10001,2020-09-30,3521.0191566158073,61615,4444,10001,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,Manhattan,Chelsea and Clinton
10001,2020-10-31,3435.621916518902,61615,4444,10001,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,Manhattan,Chelsea and Clinton
10001,2020-11-30,3384.805625853679,61615,4444,10001,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,Manhattan,Chelsea and Clinton
10001,2020-12-31,3377.5740118351764,61615,4444,10001,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,Manhattan,Chelsea and Clinton
10001,2021-01-31,3397.6481833749435,61615,4444,10001,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,Manhattan,Chelsea and Clinton
10001,2021-02-28,3436.127380064418,61615,4444,10001,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,Manhattan,Chelsea and Clinton
10001,2021-03-31,3501.268432719516,61615,4444,10001,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,Manhattan,Chelsea and Clinton
10001,2021-04-30,3619.4511190556977,61615,4444,10001,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,Manhattan,Chelsea and Clinton
10001,2021-05-31,3788.29652224627,61615,4444,10001,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,Manhattan,Chelsea and Clinton
10001,2021-06-30,3984.846497582976,61615,4444,10001,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,Manhattan,Chelsea and Clinton
10001,2021-07-31,4197.2703717155455,61615,4444,10001,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,Manhattan,Chelsea and Clinton
10001,2021-08-31,4358.613017259619,61615,4444,10001,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,Manhattan,Chelsea and Clinton
10001,2021-09-30,4495.587687017899,61615,4444,10001,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,Manhattan,Chelsea and Clinton
