year,month,unemployment
2001,December,5.7
2002,January,5.7
2002,February,5.7
2002,March,5.7
2002,April,5.9
2002,May,5.8
2002,June,5.8
2002,July,5.8
2002,August,5.7
2002,September,5.7
2002,October,5.7
2002,November,5.9
2002,December,6
2003,January,5.8
2003,February,5.9
2003,March,5.9
2003,April,6
2003,May,6.1
2003,June,6.3
2003,July,6.2
2003,August,6.1
2003,September,6.1
2003,October,6
2003,November,5.8
2003,December,5.7
2004,January,5.7
2004,February,5.6
2004,March,5.8
2004,April,5.6
2004,May,5.6
2004,June,5.6
2004,July,5.5
2004,August,5.4
2004,September,5.4
2004,October,5.5
2004,November,5.4
2004,December,5.4
2005,January,5.3
2005,February,5.4
2005,March,5.2
2005,April,5.2
2005,May,5.1
2005,June,5
2005,July,5
2005,August,4.9
2005,September,5
2005,October,5
2005,November,5
2005,December,4.9
2006,January,4.7
2006,February,4.8
2006,March,4.7
2006,April,4.7
2006,May,4.6
2006,June,4.6
2006,July,4.7
2006,August,4.7
2006,September,4.5
2006,October,4.4
2006,November,4.5
2006,December,4.4
2007,January,4.6
2007,February,4.5
2007,March,4.4
2007,April,4.5
2007,May,4.4
2007,June,4.6
2007,July,4.7
2007,August,4.6
2007,September,4.7
2007,October,4.7
2007,November,4.7
2007,December,5
2008,January,5
2008,February,4.9
2008,March,5.1
2008,April,5
2008,May,5.4
2008,June,5.6
2008,July,5.8
2008,August,6.1
2008,September,6.1
2008,October,6.5
2008,November,6.8
2008,December,7.3
2009,January,7.8
2009,February,8.3
2009,March,8.7
2009,April,9
2009,May,9.4
2009,June,9.5
2009,July,9.5
2009,August,9.6
2009,September,9.8
2009,October,10
2009,November,9.9
2009,December,9.9
2010,January,9.8
2010,February,9.8
2010,March,9.9
2010,April,9.9
2010,May,9.6
2010,June,9.4
2010,July,9.4
2010,August,9.5
2010,September,9.5
2010,October,9.4
2010,November,9.8
2010,December,9.3
2011,January,9.2
2011,February,9
2011,March,9
2011,April,9.1
2011,May,9
2011,June,9.1
2011,July,9
2011,August,9
2011,September,9
2011,October,8.8
2011,November,8.6
2011,December,8.5
2012,January,8.3
2012,February,8.3
2012,March,8.2
2012,April,8.2
2012,May,8.2
2012,June,8.2
2012,July,8.2
2012,August,8
2012,September,7.8
2012,October,7.8
2012,November,7.7
2012,December,7.9
2013,January,8
2013,February,7.7
2013,March,7.5
2013,April,7.6
2013,May,7.5
2013,June,7.5
2013,July,7.3
2013,August,7.2
2013,September,7.2
2013,October,7.2
2013,November,7
2013,December,6.7
2014,January,6.6
2014,February,6.7
2014,March,6.6
2014,April,6.2
2014,May,6.3
2014,June,6.1
2014,July,6.2
2014,August,6.1
2014,September,5.9
2014,October,5.7
2014,November,5.8
2014,December,5.6
2015,January,5.7
2015,February,5.5
2015,March,5.5
2015,April,5.4
2015,May,5.5
2015,June,5.3
2015,July,NA
2015,August,NA
2015,September,NA
2015,October,NA
2015,November,NA
2015,December,NA
